matrix,threads,mode,chunkSize,cycles,instructions,cache-references,cache-misses,LLC-loads,LLC-load-misses
1,32,0,100,6554271672,15264316592,2171918,935266,27066,10730
1,32,0,1000,6547141094,15270170384,2112127,950129,20169,8647
1,32,1,1,6790236653,15261231563,2944921,1265290,150237,47909
1,32,1,10,6531277343,15259774456,2347750,964956,44511,18443
1,32,1,100,6535155627,15261566476,2266410,953103,28046,11086
1,32,1,1000,6520160923,15269258138,2166778,945392,20305,8201
1,32,2,1,6517566423,15260190499,2270240,945356,27342,10560
1,32,2,10,6598901697,15263952995,2262769,934038,25729,10240
1,32,2,100,6517888804,15260790844,2201032,919991,24792,10312
1,32,2,1000,6527007317,15269548392,2196133,936890,20246,8413
1,64,0,1,9604874182,15392142207,2926280,1259845,124312,40725
1,64,0,10,9684163893,15404025772,2396267,972275,49359,17650
1,64,0,100,8337973294,15342754354,2238884,934272,34483,11445
1,64,0,1000,10170043562,15444397709,2142724,903387,24998,8532
1,64,1,1,10887358676,15445631126,2941143,1163908,125680,33400
1,64,1,10,9811459767,15408882980,2388862,952967,46660,16887
1,64,1,100,8889195905,15368005470,2251052,876225,33624,11131
1,64,1,1000,10481033586,15458909735,2118623,895374,25043,8592
1,64,2,1,10123848390,15425524646,2302630,919535,36851,11892
1,64,2,10,10029572761,15420756875,2291053,926021,33878,11724
1,64,2,100,8680547601,15357798677,2263533,869906,32238,10974
1,64,2,1000,9706826439,15422136065,2163705,921696,24989,8618
2,1,-1,-1,2711399490,6693869602,1020847,265821,11125,5884
2,2,0,1,2710479201,6661255272,1118593,500474,22136,13383
2,2,0,10,2720072536,6659665293,993502,385613,14468,8270
2,2,0,100,2720147138,6659524855,935135,366720,12255,6789
2,2,0,1000,2709315275,6659497801,959140,353924,11577,6379
2,2,1,1,2734705597,6660331670,1212286,577086,40214,32263
2,2,1,10,2706239992,6659464181,971886,389841,15213,9393
2,2,1,100,2709554143,6659377281,949910,368162,12502,6987
2,2,1,1000,2704719809,6659390712,992951,349417,11735,6304
2,2,2,1,2711452108,6659600603,986518,357469,11849,6507
2,2,2,10,2712943793,6659565347,967338,363940,11339,6411
2,2,2,100,2710939739,6659601162,941127,357914,11534,6304
2,2,2,1000,2717108759,6659593132,995696,370870,11465,6456
2,4,0,1,2723964654,6661578339,1250274,651592,34747,24365
2,4,0,10,2713464462,6659882350,1008148,465789,18253,11102
2,4,0,100,2713432212,6659838570,984396,417772,14323,8049
2,4,0,1000,2716802568,6659861462,954252,388113,12516,7002
2,4,1,1,2775384518,6660523941,1323940,768586,66778,58063
2,4,1,10,2723109492,6659668271,1015082,463949,20216,13303
2,4,1,100,2722570312,6659579067,985551,415841,14578,8171
2,4,1,1000,2711019400,6659677373,960210,403699,12620,6886
2,4,2,1,2713594818,6659713892,961220,428837,12259,6830
2,4,2,10,2728478384,6659706183,947555,429433,12360,6634
2,4,2,100,2735875604,6659703932,935555,424826,12205,6752
2,4,2,1000,2714912619,6659744967,962667,416743,12270,6647
2,8,0,1,2739100482,6662003935,1326300,630029,47278,27801
2,8,0,10,2732227836,6660410153,1088512,488879,24044,12217
2,8,0,100,2731040561,6660324624,993490,441243,17272,8340
2,8,0,1000,2728884102,6660425968,945341,409973,14399,7121
2,8,1,1,2832439380,6660947171,1441248,719017,98962,54758
2,8,1,10,2749293204,6660083320,1075582,482599,27697,13858
2,8,1,100,2727811581,6659979741,996750,428333,17345,8649
2,8,1,1000,2722484388,6660149934,973800,402907,14402,7097
2,8,2,1,2726062196,6660259314,971408,416672,14443,7093
2,8,2,10,2725491398,6660234263,962558,422878,14409,7163
2,8,2,100,2741231613,6660392277,971301,424660,14377,7108
2,8,2,1000,2735773946,6660276119,953164,426638,14210,7124
2,16,0,1,2793546286,6663097842,1402875,600946,66723,32750
2,16,0,10,2781447158,6661697237,1103276,462814,33614,13887
2,16,0,100,2774855932,6661536905,1010760,430916,21550,9457
2,16,0,1000,2779049401,6661926220,991672,420078,17113,7807
2,16,1,1,2975481506,6661945008,1507142,662337,125522,50154
2,16,1,10,2782225342,6660991519,1121934,482484,37958,15561
2,16,1,100,2770753413,6661082719,1005382,431432,21819,9408
2,16,1,1000,2796031650,6661426180,963800,407552,17765,7801
2,16,2,1,2778152125,6661540287,994953,398447,18976,8010
2,16,2,10,2763795922,6661386478,989235,410564,18933,8022
2,16,2,100,2769912846,6661373727,978918,426042,18592,8036
2,16,2,1000,2773098502,6661450970,992612,438341,18320,8112
2,32,0,1,2964246334,6667107870,1518891,586371,93596,33887
2,32,0,10,2928820160,6664889807,1135001,428073,41616,14157
2,32,0,100,2892935176,6665568928,1017826,407757,26720,9986
2,32,0,1000,2923722426,6667640349,1020223,451586,22773,8772
2,32,1,1,3243485180,6665483725,1613301,618725,160675,46052
2,32,1,10,2915686937,6664272438,1141680,439218,46974,15723
2,32,1,100,2918165322,6664921198,1031492,402826,26342,10099
2,32,1,1000,2905594311,6667272377,1007522,423926,22488,8581
2,32,2,1,3125956687,6676210138,999965,393376,24992,9268
2,32,2,10,2916633517,6665715671,1024481,402646,24199,9192
2,32,2,100,2890802342,6665505392,997728,385149,23947,8747
2,32,2,1000,2903913475,6667190769,1011279,422444,21760,8338
2,64,0,1,6268103736,6822233923,1549413,563601,118558,34230
2,64,0,10,5790931121,6800366022,1181339,444183,55079,15076
2,64,0,100,5846402878,6803962273,1054292,412125,33913,10407
2,64,0,1000,5637758119,6798582334,986979,400394,26916,8430
2,64,1,1,6196822075,6803900744,1633380,564388,149432,35491
2,64,1,10,6298219071,6823604773,1190895,419480,53879,14582
2,64,1,100,5028799177,6764632069,1047248,387260,33934,10110
2,64,1,1000,5120469218,6773480728,1012004,420644,27536,8684
2,64,2,1,5532475063,6787845596,1071360,405622,36109,10417
2,64,2,10,4324895878,6731239687,1058128,404615,34999,10241
2,64,2,100,7081830377,6863108515,1058758,417782,31673,9777
2,64,2,1000,5407806683,6787599049,1035935,406660,28177,8499
3,1,-1,-1,1297500223,3337913234,553238,93707,10127,4969
3,2,0,1,1295340545,3319578000,767718,290442,19025,8838
3,2,0,10,1305711377,3318382157,612963,215260,14190,7547
3,2,0,100,1292928993,3318278428,564197,171065,10348,5156
3,2,0,1000,1302021602,3318225036,540262,163777,10073,4750
3,2,1,1,1313181103,3318886220,789947,358029,34909,26093
3,2,1,10,1294695988,3318247269,626769,225197,16186,9701
3,2,1,100,1292084674,3318195207,545356,166372,10676,5192
3,2,1,1000,1291018675,3318181220,560483,164433,9989,4693
3,2,2,1,1290700621,3318190574,556264,159916,9913,4659
3,2,2,10,1290275388,3318185550,557653,165496,9902,4726
3,2,2,100,1291161659,3318181983,568478,158777,9885,4720
3,2,2,1000,1291833984,3318202296,551508,163028,9877,4519
3,4,0,1,1309294982,3319885604,950310,538302,47187,34879
3,4,0,10,1301341399,3318716307,624895,278202,15604,9132
3,4,0,100,1298322698,3318573141,560821,227363,11504,5920
3,4,0,1000,1306388435,3318529154,517116,217652,10778,5015
